Year,Name,Position,School,Stats,Unaminous ,,ID
2024,Caleb Downs*,DB,Ohio State,49 Solo 33 Ast 0.5 Sk 2 Int,Yes,,caleb-downs-1
2024,Xavier Watts*,DB,Notre Dame,52 Solo 30 Ast 0.0 Sk 6 Int,No,,xavier-watts-1
2024,Nohl Williams*,DB,California,33 Solo 19 Ast 0.0 Sk 7 Int,No,,nohl-williams-1
2024,Alex Mastromanno,P,Florida State,55 Punts 2710 Yds 49.3 Avg,No,,alex-mastromanno-1
2025,Logan Jones*,C,Iowa,,Yes,,logan-jones-1
2025,Fernando Mendoza*,QB,Indiana,273 Cmp 379 Att 3535 Yds 41 TD 6 Int,No,,fernando-mendoza-1
2025,Ahmad Hardy*,RB,Missouri,256 Att 1649 Yds 6.4 Avg 16 TD,No,,ahmad-hardy-1
2025,Jeremiyah Love,RB,Notre Dame,199 Att 1372 Yds 6.9 Avg 18 TD,Yes,,jeremiyah-love-1
2025,Skyler Bell*,WR,Connecticut,101 Rec 1278 Yds 12.7 Avg 13 TD,No,,skyler-bell-1
2025,Makai Lemon*,WR,USC,79 Rec 1156 Yds 14.6 Avg 11 TD,Yes,,makai-lemon-1
2025,Jeremiah Smith*,WR,Ohio State,87 Rec 1243 Yds 14.3 Avg 12 TD,Yes,,jeremiah-smith-2
2025,Eli Stowers*,TE,Vanderbilt,62 Rec 769 Yds 12.4 Avg 4 TD,Yes,,eli-stowers-1
2025,Spencer Fano*,OL,Utah,,Yes,,spencer-fano-1
2025,Francis Mauigoa*,OL,Miami (FL),,No,,francis-mauigoa-1
2025,Kadyn Proctor*,OL,Alabama,,No,,kadyn-proctor-1
2025,Carter Smith*,OL,Indiana,,No,,carter-snith-1
2025,Kansei Matsuzawa*,K,Hawaii,40 XPM 40 XPA 27 FGM 29 FGA 121 Pts,No,,kansei-matsuzawa-1
2025,Kevin Concepcion*,AP,Texas A&M,61 Rec 919 Yds 15.1 Avg 9 TD,No,,kevin-concepcion-2
2025,Kaden Wetjen*,AP,Iowa,20 Rec 151 Yds 7.6 Avg 1 TD,No,,kaden-wetjen-1
2025,David Bailey*,DL,Texas Tech,32 Solo 20 Ast 14.5 Sk 0 Int,Yes,,david-bailey-5
2025,Rueben Bain Jr.*,DL,Miami (FL),30 Solo 24 Ast 9.5 Sk 1 Int,No,,rueben-bain-jr-1
2025,Cashius Howell*,DL,Texas A&M,20 Solo 11 Ast 11.5 Sk 0 Int,Yes,,cashius-howell-1
2025,Kayden McDonald*,DL,Ohio State,31 Solo 34 Ast 3.0 Sk 0 Int,Yes,,kayden-mcdonald-1
2025,CJ Allen*,LB,Georgia,10 Solo 6 Ast 1.0 Sk 0 Int,No,,cj-allen-2
2025,Arvell Reese*,LB,Ohio State,34 Solo 35 Ast 6.5 Sk 0 Int,No,,arvell-reese-1
2025,Jacob Rodriguez*,LB,Texas Tech,63 Solo 65 Ast 1.0 Sk 4 Int,Yes,,jacob-rodriguez-1
2025,Mansoor Delane*,DB,LSU,26 Solo 19 Ast 0.0 Sk 2 Int,Yes,,mansoor-delane-1
2025,Caleb Downs*,DB,Ohio State,45 Solo 23 Ast 1.0 Sk 2 Int,Yes,,caleb-downs-1
2025,Bishop Fitzgerald*,DB,USC,34 Solo 17 Ast 1.0 Sk 5 Int,No,,bishop-fitzgerald-1
2025,Leonard Moore,DB,Notre Dame,23 Solo 8 Ast 0.0 Sk 5 Int,Yes,,leonard-moore-1
2025,Cole Maynard*,P,Western Kentucky,57 Punts 2756 Yds 48.4 Avg,No,,cole-maynard-1
