Year,Name,Position,School,Stats,Unaminous,ID
2015,Joshua Garnett*,OL,Stanford,,Yes,joshua-garnett-1
2015,Ryan Kelly*,OL,Alabama,,No,ryan-kelly-1
2015,Ronnie Stanley*,OL,Notre Dame,,No,ronnie-stanley-2
2015,Ka'Imi Fairbairn*,K,UCLA,47 XPM 47 XPA 20 FGM 24 FGA 107 Pts,No,kaimi-fairbairn-1
2015,Christian McCaffrey*,AP,Stanford,337 Att 2019 Yds 6.0 Avg 8 TD,No,christian-mccaffrey-1
2015,Evan Berry*,AP,Tennessee,,No,evan-berry-1
2015,Joey Bosa*,DL,Ohio State,35 Solo 16 Ast 5.0 Sk 1 Int,No,joey-bosa-1
2015,Shaq Lawson*,DL,Clemson,36 Solo 24 Ast 12.5 Sk 0 Int,No,shaq-lawson-1
2015,Carl Nassib*,DL,Penn State,31 Solo 15 Ast 15.5 Sk 1 Int,Yes,carl-nassib-1
2015,A'Shawn Robinson*,DL,Alabama,18 Solo 28 Ast 3.5 Sk 0 Int,No,ashawn-robinson-1
2015,Tyler Matakevich*,LB,Temple,77 Solo 61 Ast 4.5 Sk 5 Int,No,tyler-matakevich-1
2015,Reggie Ragland*,LB,Alabama,60 Solo 42 Ast 2.5 Sk 0 Int,Yes,reggie-ragland-1
2015,Jaylon Smith*,LB,Notre Dame,69 Solo 45 Ast 1.0 Sk 0 Int,No,jaylon-smith-1
2015,Jeremy Cash*,DB,Duke,57 Solo 44 Ast 2.5 Sk 0 Int,Yes,jeremy-cash-2
2015,Vernon Hargreaves III*,DB,Florida,23 Solo 10 Ast 0.0 Sk 4 Int,Yes,vernon-hargreaves-iii-1
2015,Desmond King*,DB,Iowa,46 Solo 26 Ast 0.0 Sk 8 Int,Yes,desmond-king-1
2015,Jalen Ramsey*,DB,Florida State,37 Solo 15 Ast 1.0 Sk 0 Int,No,jalen-ramsey-1
2015,Tom Hackett*,P,Utah,61 Punts 2925 Yds 48.0 Avg,Yes,tom-hackett-1
2016,Pat Elflein*,C,Ohio State,,Yes,pat-elfein-1
2016,Lamar Jackson*,QB,Louisville,230 Cmp 409 Att 3543 Yds 30 TD 9 Int,Yes,lamar-jackson-1
2016,Dalvin Cook*,RB,Florida State,288 Att 1765 Yds 6.1 Avg 19 TD,Yes,dalvin-cook-1
2016,D'Onta Foreman,RB,Texas,323 Att 2028 Yds 6.3 Avg 15 TD,No,donta-foreman-1
2016,Corey Davis*,WR,Western Michigan,97 Rec 1500 Yds 15.5 Avg 19 TD,No,corey-davis-3
2016,Dede Westbrook*,WR,Oklahoma,80 Rec 1524 Yds 19.1 Avg 17 TD,Yes,dede-westbrook-1
2016,Jake Butt*,TE,Michigan,46 Rec 546 Yds 11.9 Avg 4 TD,No,jake-butt-1
2016,Cody O'Connell*,OL,Washington State,,Yes,cody-oconnell-1
2016,Ryan Ramczyk*,OL,Wisconsin,,No,ryan-ramczyk-1
2016,Cam Robinson,OL,Alabama,,Yes,cam-robinson-2
2016,Connor Williams,OL,Texas,,No,connor-williams-2
2016,Zane Gonzalez,K,Arizona State,39 XPM 40 XPA 23 FGM 25 FGA 108 Pts,Yes,zane-gonzalez-1
2016,Quadree Henderson*,AP,Pitt,60 Att 631 Yds 10.5 Avg 5 TD,No,quadree-henderson-1
2016,Jonathan Allen*,DL,Alabama,33 Solo 36 Ast 10.5 Sk 0 Int,Yes,jonathan-allen-1
2016,Derek Barnett*,DL,Tennessee,40 Solo 16 Ast 13.0 Sk 1 Int,No,derek-barnett-2
2016,Myles Garrett*,DL,Texas A&M,18 Solo 15 Ast 8.5 Sk 0 Int,Yes,myles-garrett-1
2016,Demarcus Walker*,DL,Florida State,46 Solo 22 Ast 16.0 Sk 0 Int,No,demarcus-walker-1
2016,Zach Cunningham*,LB,Vanderbilt,71 Solo 54 Ast 0.0 Sk 0 Int,Yes,zach-cunningham-1
2016,Reuben Foster*,LB,Alabama,60 Solo 55 Ast 5.0 Sk 0 Int,Yes,reuben-foster-1
2016,Jabrill Peppers*,LB,Michigan,47 Solo 25 Ast 4.0 Sk 1 Int,Yes,jabrill-peppers-1
2016,Budda Baker*,DB,Washington,49 Solo 22 Ast 3.0 Sk 2 Int,No,budda-baker-1
2016,Minkah Fitzpatrick*,DB,Alabama,41 Solo 25 Ast 1.0 Sk 6 Int,No,minkah-fitzpatrick-1
2016,Malik Hooker*,DB,Ohio State,43 Solo 31 Ast 0.5 Sk 7 Int,Yes,malik-hooker-1
2016,Adoree Jackson*,DB,USC,46 Solo 9 Ast 0.0 Sk 5 Int,No,adoree-jackson-1
2016,Jourdan Lewis*,DB,Michigan,18 Solo 7 Ast 0.0 Sk 2 Int,No,jourdan-lewis-1
2016,Tre'Davious White*,DB,LSU,19 Solo 16 Ast 0.5 Sk 2 Int,No,tredavious-white-1
2016,Mitch Wishnowsky*,P,Utah,64 Punts 3053 Yds 47.7 Avg,Yes,mitch-wishnowsky-1
2017,Billy Price*,C,Ohio State,,Yes,billy-price-1
